,decile,min_prob,max_prob,default_cnt,non_default_cnt,total_cnt,default_rate,default_pct,non_default_pct,cum_default_pct,cum_non_default_pct,ks_stats
1,10,0.720694553,0.9904159,39,10,49,79.59183673,31.4516129,2.739726027,31.4516129,2.739726027,28.71188688
2,9,0.456281703,0.69858754,33,16,49,67.34693878,26.61290323,4.383561644,58.06451613,7.123287671,50.94122846
3,8,0.31993881,0.45486578,18,31,49,36.73469388,14.51612903,8.493150685,72.58064516,15.61643836,56.96420681
4,7,0.236587194,0.319259582,15,34,49,30.6122449,12.09677419,9.315068493,84.67741935,24.93150685,59.74591251
5,6,0.157398493,0.236034081,7,42,49,14.28571429,5.64516129,11.50684932,90.32258065,36.43835616,53.88422448
6,5,0.103351334,0.157150227,4,44,48,8.333333333,3.225806452,12.05479452,93.5483871,48.49315068,45.05523641
7,4,0.055955277,0.102905716,3,46,49,6.12244898,2.419354839,12.60273973,95.96774194,61.09589041,34.87185152
8,3,0.028290363,0.054934023,4,45,49,8.163265306,3.225806452,12.32876712,99.19354839,73.42465753,25.76889085
9,2,0.009894697,0.027854865,1,48,49,2.040816327,0.806451613,13.15068493,100,86.57534247,13.42465753
10,1,0.000641568,0.009138048,0,49,49,0,0,13.42465753,100,100,0
